sleep_rem,awake,brainwt,bodywt
1.8,7.0,0.0155,0.48
2.3,9.1,0.00029,0.019
0.7,20.0,0.423,600.0
2.9,13.9,0.07,14.0
0.6,18.7,0.115,33.5
0.8,14.6,0.0055,0.728
1.5,11.5,0.0064,0.42
2.2,13.7,0.001,0.06
2.0,15.7,0.0066,1.0
1.4,14.9,0.00014,0.005
3.1,6.6,0.0108,3.5
0.5,18.7,0.0123,2.95
4.9,6.0,0.0063,1.7
3.9,4.3,0.0003,0.023
0.6,21.1,0.655,521.0
0.4,20.9,0.419,187.0
3.5,13.9,0.0035,0.77
1.1,13.1,0.115,10.0
3.2,11.5,0.0256,3.3
1.1,14.2,0.005,0.2
1.5,17.8,0.325,85.0
0.6,17.7,0.01227,2.625
1.9,16.0,1.32,62.0
1.2,13.9,0.179,6.8
3.1,9.7,0.001,0.12
1.4,11.5,0.0004,0.022
2.0,4.1,0.00025,0.01
0.9,15.6,0.0121,2.5
0.6,20.2,0.175,55.5
1.4,14.3,0.44,52.2
1.0,14.6,0.18,25.235
2.7,13.7,0.0024,0.55
1.8,10.3,0.0114,1.62
6.1,5.9,0.081,60.0
0.5,18.6,0.021,3.6
2.4,11.0,0.0019,0.32
1.4,14.4,0.02,0.743
2.1,15.6,0.0012,0.075
1.1,12.7,0.00118,0.148
2.4,13.4,0.003,0.122
3.4,10.2,0.004,0.101
2.0,11.2,0.00033,0.048
2.4,14.9,0.18,86.25
1.0,19.6,0.169,207.501
2.3,8.4,0.0026,0.9
2.6,15.1,0.0025,0.104
1.3,17.7,0.0175,2.0
2.4,14.2,0.0504,4.23
