pts,elo_i,win_equiv,game_result
66,1300,40.29483,L
68,1300,41.70517,W
63,1300,42.012257,W
47,1306.7233,40.692783,L
33,1300,38.864048,L
50,1300,43.135952,W
53,1300,40.459381,L
59,1300,41.540619,W
51,1300,40.50798,L
56,1300,41.49202,W
60,1293.2767,39.548164,L
71,1300,41.74712,W
56,1295.3092,38.689037,L
71,1320.3811,44.946995,W
55,1294.8458,39.78503,L
57,1309.6521,42.686188,W
53,1304.6908,42.347137,W
49,1279.6189,38.011841,L
75,1277.9456,38.201401,L
81,1300,41.489525,W
73,1305.1542,42.206284,W
65,1316.084,42.020947,L
63,1312.8473,41.272594,L
68,1297.0712,41.767715,W
73,1286.1534,39.864174,W
71,1271.4624,37.69738,L
54,1289.1691,39.286152,L
62,1309.735,42.599075,W
46,1288.4139,38.410091,L
69,1268.4468,39.069672,W
76,1311.5032,42.81501,W
66,1273.2786,37.595333,L
70,1302.5988,41.60125,W
69,1337.7448,44.621101,L
92,1307.1233,43.211502,W
68,1334.6112,43.162102,L
78,1315.2522,44.073521,W
68,1307.3197,40.288467,L
84,1267.4674,38.648594,W
71,1317.3143,41.757576,L
61,1275.2767,37.847424,L
71,1329.3558,44.635178,W
68,1281.584,38.419147,L
70,1307.223,42.409618,W
68,1304.667,41.908504,W
65,1320.6311,42.74395,L
62,1269.8861,37.562286,L
64,1305.7323,41.888145,W
68,1313.4436,41.245461,L
85,1283.6519,40.449894,W
49,1294.7554,39.951809,L
53,1267.1501,38.057545,W
73,1316.6356,44.13501,W
65,1334.7465,43.246357,L
64,1293.2161,40.603352,W
62,1277.5587,38.334831,L
70,1275.3634,40.151493,W
59,1302.3401,39.510479,L
83,1308.4683,42.606758,W
74,1321.1034,42.49369,L
76,1314.2461,41.803886,L
78,1321.4366,43.933949,W
61,1296.2185,41.037148,W
57,1291.9098,39.717983,L
48,1290.0051,39.374023,L
54,1274.5563,38.911285,W
63,1308.6625,41.108635,L
66,1315.3256,43.404839,W
74,1307.6647,42.460903,W
72,1284.491,38.718002,L
54,1280.0704,39.51347,W
53,1287.7742,39.115551,L
72,1300.3541,41.477695,W
69,1328.0181,43.495312,L
54,1329.9454,44.511421,W
51,1322.9524,43.027046,L
53,1271.9004,36.603973,L
65,1319.3402,44.485733,W
63,1301.0356,40.450329,L
65,1323.818,44.150517,W
66,1333.5576,45.642277,W
58,1285.7937,38.371208,L
82,1257.9297,36.349152,L
83,1278.2225,38.97525,W
46,1255.4705,35.794254,L
54,1282.0223,39.677727,W
76,1313.9331,41.897987,L
82,1304.5542,42.040882,W
59,1274.9045,37.437588,L
65,1333.3109,45.415985,W
74,1344.4468,46.595535,W
50,1280.6818,38.010517,L
55,1330.0941,42.140995,L
68,1287.39,41.692654,W
60,1285.8223,39.209019,L
62,1308.5621,42.202728,W
71,1265.9526,39.049664,W
59,1250.1028,34.20953,L
62,1309.9252,43.926521,W
46,1282.9152,37.327347,L
